ID,yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
45,1986,PIT,6,663,700,162,64,1366,569,,5456,,111,273,33,10843500,0.250366568915,0.321161825726,0.37353372434
46,1986,HOU,1,654,569,162,96,1388,536,,5441,,125,244,32,9873276,0.255100165411,0.32190061904,0.380628560926
47,1986,CIN,2,732,717,162,86,1404,586,,5536,,144,237,35,11906388,0.253612716763,0.325057170859,0.387102601156
48,1986,SFN,3,698,618,162,83,1394,536,,5501,,114,269,29,8947000,0.253408471187,0.319695212854,0.375022723141
49,1986,SDN,4,656,723,162,74,1442,484,,5515,,136,239,25,11380693,0.261468721668,0.321053508918,0.387851314597
50,1986,LAN,5,638,679,162,73,1373,478,,5471,,130,232,14,14913776,0.250959605191,0.311144730207,0.369767866935
51,1986,ATL,6,615,719,161,72,1348,538,,5384,,138,241,24,17102786,0.250371471025,0.318473488686,0.380943536404
52,1987,DET,1,896,735,162,98,1535,653,,5649,,225,274,32,12122881,0.271729509648,0.34719136782,0.451053283767
53,1987,TOR,2,845,655,162,96,1514,555,,5635,,215,277,38,10479501,0.268677905945,0.334248788368,0.44578527063
54,1987,ML4,3,862,817,162,91,1552,598,,5625,,163,272,46,7293224,0.275911111111,0.34549252772,0.427555555556
55,1987,NYA,4,788,758,162,89,1445,604,,5511,,196,239,16,17099714,0.262202866993,0.335077677841,0.418072945019
56,1987,BOS,5,842,825,162,78,1554,606,,5586,,174,273,26,10144167,0.278195488722,0.348837209302,0.429824561404
57,1987,BAL,6,729,880,162,67,1437,524,,5576,,211,219,20,13900273,0.257711621234,0.321475409836,0.417682926829
58,1987,CLE,7,742,957,162,61,1476,489,,5606,,187,267,30,8513750,0.263289332858,0.322395406071,0.421691045309
59,1987,MIN,1,786,806,162,85,1422,523,,5441,,196,258,35,6397500,0.261349016725,0.326123407109,0.429700422716
60,1987,KCA,2,715,691,162,83,1443,523,,5499,,168,239,40,11828056,0.262411347518,0.326469611425,0.412074922713
61,1987,OAK,3,806,789,162,81,1432,593,,5511,,199,263,33,11680839,0.259843948467,0.331749672346,0.427871529668
62,1987,SEA,4,760,801,162,78,1499,500,,5508,,161,282,48,2263500,0.272149600581,0.332723035952,0.42846768337
63,1987,CHA,5,748,746,162,77,1427,487,,5538,,173,283,36,10641843,0.257674250632,0.317676348548,0.415492957746
64,1987,CAL,6,770,803,162,75,1406,590,,5570,,172,257,26,12843499,0.252423698384,0.324025974026,0.400538599641
65,1987,TEX,6,823,849,162,75,1478,567,,5564,,194,264,35,880000,0.265636232926,0.333550807372,0.430265995687
66,1987,SLN,1,798,693,162,95,1449,644,,5500,,94,252,49,11758000,0.263454545455,0.340657552083,0.378363636364
67,1987,NYN,2,823,698,162,92,1499,592,,5601,,192,287,34,13846714,0.267630780218,0.337639270144,0.433851098018
68,1987,MON,3,741,720,162,91,1467,501,,5527,,120,310,39,6942052,0.265424280803,0.326476443265,0.400759905916
69,1987,PHI,4,702,749,162,80,1390,587,,5475,,169,248,51,11514233,0.253881278539,0.326129990102,0.410410958904
70,1987,PIT,4,723,744,162,80,1464,535,,5536,,131,282,45,7652000,0.264450867052,0.329270301433,0.402637283237
71,1987,CHN,6,720,801,161,76,1475,504,,5583,,209,244,33,14307999,0.264194877306,0.325119106292,0.432025792585
72,1987,SFN,1,783,669,162,90,1458,511,,5608,,205,274,32,7290000,0.259985734665,0.321784605328,0.429921540656
73,1987,CIN,2,783,752,162,84,1478,514,,5560,,192,262,29,9281500,0.265827338129,0.327955218966,0.426978417266
74,1987,HOU,3,648,678,162,76,1386,526,,5485,,122,238,28,12608371,0.252689152233,0.318083513558,0.373017319964
75,1987,LAN,4,635,675,162,73,1389,445,,5517,,125,236,23,13675403,0.251767264818,0.307614894331,0.37085372485
76,1987,ATL,5,747,829,161,69,1401,641,,5428,,152,284,24,16544560,0.258106116433,0.336463997364,0.403279292557
77,1987,SDN,6,668,763,162,65,1419,577,,5456,,113,209,48,11065796,0.260080645161,0.330847008122,0.378115835777
78,1988,BOS,1,813,689,162,89,1569,623,,5545,,124,310,39,13896092,0.282957619477,0.355382619974,0.420018034265
79,1988,DET,2,703,658,162,88,1358,588,,5433,,143,213,28,12869571,0.249953984907,0.323202125893,0.378428124425
80,1988,ML4,3,682,616,162,87,1409,439,,5488,,113,258,26,8402000,0.256741982507,0.31179348743,0.375
81,1988,TOR,3,763,680,162,87,1491,521,,5557,,158,271,47,12241225,0.268310239338,0.331029944061,0.419290984344
82,1988,NYA,5,772,748,161,85,1469,588,,5592,,148,272,12,19441152,0.262696709585,0.33284789644,0.395028612303
83,1988,CLE,6,666,731,162,78,1435,416,,5505,,134,235,28,8936500,0.260672116258,0.312616112143,0.386557674841
